htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
dul1.ark:/13960/t1tf0sj2n	1	pd	100072856		DUL	002276019	1165364				Spectropia; Or, Surprising Spectral Illusions. Showing Ghosts Everywhere, And Of Any Colour. [by J. H. Brown] With Sixteen Illustrations.	James G. Gregory, 1864.	bib	2014-01-12 03:38:05	0	1864	xx 	eng	BK	IDUKE	duke	duke	ia	open	Brown, J. H.	https://catalog.hathitrust.org/Record/100072856	https://hdl.handle.net/2027/dul1.ark:/13960/t1tf0sj2n
hvd.32044014463608	1	pd	100327176		HVD	003765392	4124459				Canterville Ghost : An Amusing Chronicle Of The Tribulations Of The Ghost Of Canterville Chase When His Ancestral Halls Became The Home Of The American Minister To The Court Of St. James / By Wilde ; Ill. By Wallace Goldsmith.	J. W. Luce and Co., 1906.	bib	2014-10-04 03:28:50	0	1906	mau	eng	BK	HVD	harvard	harvard	google	google	Wilde, Oscar, 1854-1900.	https://catalog.hathitrust.org/Record/100327176	https://hdl.handle.net/2027/hvd.32044014463608
hvd.32044037135332	1	pd	1027892		HVD	006738369	1648891			08002117	John's Alive; Or, The Bride Of A Ghost, And Other Sketches. By Major Jones [pseud.] Of Pineville, Ga. ... Ten Original Full-page Illustrations, By H. T. Cariss.	D. McKay, 1883.	bib	2014-10-05 03:26:21	0	1883	pau	eng	BK	HVD	harvard	harvard	google	google	Jones, Joseph, 1812-1882.	https://catalog.hathitrust.org/Record/1027892	https://hdl.handle.net/2027/hvd.32044037135332
hvd.32044037447711	1	pd	11535639		HVD	005585817	82060260				Ghost Stories; Collected With A Particular View To Counteract The Vulgar Belief In Ghosts And Apparitions. With The Ten Engravings From Designs Of F. O. C. Darley.	H. C. Baird, 1854.	bib	2012-05-13 19:33:53	0	1854	pau	eng	BK	HVD	harvard	harvard	google	google		https://catalog.hathitrust.org/Record/11535639	https://hdl.handle.net/2027/hvd.32044037447711
hvd.32044050807148	1	pd	100337874		HVD	003150270	9106191			05012163	Ghost-stories Of An Antiquary, By Montague Rhodes James ... With Four Illustrations By The Late James Mcbryde.	E. Arnold, 1905.	add	2015-05-27 16:25:06	0	1905	enk	eng	BK	HVD	harvard	harvard	google	google	James, M. R. 1862-1936.	https://catalog.hathitrust.org/Record/100337874	https://hdl.handle.net/2027/hvd.32044050807148
inu.39000005810242	1	pdus	6810633		INU	1831476	3236601				Book Of Ghosts / By S. Baring-gould ; With Eight Illustrations By D. Murray Smith.	Methuen, 1904.	bib	2013-05-22 19:25:32	0	1904	enk	eng	BK	INU	iu	iu	google	google	Baring-Gould, S. 1834-1924.	https://catalog.hathitrust.org/Record/6810633	https://hdl.handle.net/2027/inu.39000005810242
loc.ark:/13960/t3st8rx7n	1	pd	100135970		LOC	2161482				07004451	Ghost / By Wm. D. O'connor ; With Two Illustrations By Thos. Nast.	G.P. Putnam & Son ; Sampson Low & Co., 1867.	bib	2014-02-20 03:44:04	0	1867	nyu	eng	BK	ILOC	loc	loc	ia	open	O'Connor, William Douglas, 1832-1889.	https://catalog.hathitrust.org/Record/100135970	https://hdl.handle.net/2027/loc.ark:/13960/t3st8rx7n
mdp.39076006965847	1	pd	9911500		MIU	990099115000106381	165639			63013626,63013626 /L/AC/r78	Halloween. Illustrated By Gil Miret.	Garrard Pub. Co. [1963]	ren	2013-03-05 05:25:02	0	1963	ilu	eng	BK	UMDB	umich	umich	google	google	Patterson, Lillie.	https://catalog.hathitrust.org/Record/9911500	https://hdl.handle.net/2027/mdp.39076006965847
nyp.33433043009319	1	pd	8611790		NYP	b102717850				03019178	Sociable Ghost. Being The Adventures Of A Reporter ... Written Down By Olive Harper [pseud.] And Another. Illustrated By Thomas Mcilvaine And A. W. Schwartz ...	J. S. Ogilvie, 1903.	bib	2013-04-04 19:25:37	0	1903	nyu	eng	BK	NYP	nypl	nypl	google	google	D'Apery, Ellen, 1842-1915.	https://catalog.hathitrust.org/Record/8611790	https://hdl.handle.net/2027/nyp.33433043009319
uc1.31158007652646	1	pd	11159387		UC	2319552	15667458				White Ghost Book. Illustrated With Four Ghost Photographs And Other Plates.	Cassell, [1916]	add	2013-04-24 05:25:02	0	1916	enk	eng	BK	UCLA	universityofcalifornia	universityofcalifornia	google	google	Middleton, Jessie Adelaide.	https://catalog.hathitrust.org/Record/11159387	https://hdl.handle.net/2027/uc1.31158007652646
uc2.ark:/13960/t3rv0db8c	1	pdus	7651922		UC	549504	222641				Ghosts I Have Met And Some Others. With Illustrations By Newell, Frost, And Richards.	Harper & brothers, publishers, 1902.	bib	2010-08-24 20:30:28	0	1902	xx 	eng	BK	ISRLF	universityofcalifornia	universityofcalifornia	ia	open	Bangs, John Kendrick, 1862-1922.	https://catalog.hathitrust.org/Record/7651922	https://hdl.handle.net/2027/uc2.ark:/13960/t3rv0db8c
uc2.ark:/13960/t4hm5g83g	1	pd	950876		UC	1762225	5913541				Haunted House / By Thomas Hood ; Illustrated By Herbert Railton ; With An Introd. By Austin Dobson.	Lawrence and Bullen, 1896.	add	2013-09-11 05:25:03	0	1896	enk	eng	BK	ISRLF	universityofcalifornia	universityofcalifornia	ia	open	Hood, Thomas, 1799-1845.	https://catalog.hathitrust.org/Record/950876	https://hdl.handle.net/2027/uc2.ark:/13960/t4hm5g83g
uc2.ark:/13960/t56d5q54x	1	pd	8621971		UC	b145028999	9249515			11004745	Hours With The Ghosts : Or, Nineteenth Century Witchcraft. Illustrated Investigations Into The Phenomena Of Spiritualism And Theosophy / By Henry Ridgely Evans.	Laird & Lee [c1897]	bib	2011-02-15 19:30:11	0	1897	ilu	eng	BK	INRLF	universityofcalifornia	universityofcalifornia	ia	open	Evans, Henry Ridgely, 1861-1949.	https://catalog.hathitrust.org/Record/8621971	https://hdl.handle.net/2027/uc2.ark:/13960/t56d5q54x
